Sexo,Municipios,Periodo,Total
Total,"28001 Acebeda, La",2025,70
Total,"28001 Acebeda, La",2024,68
Total,"28001 Acebeda, La",2023,67
Total,"28001 Acebeda, La",2022,62
Total,"28001 Acebeda, La",2021,55
Total,"28001 Acebeda, La",2020,68
Total,"28001 Acebeda, La",2019,84
Total,"28001 Acebeda, La",2018,65
Total,"28001 Acebeda, La",2017,66
Total,"28001 Acebeda, La",2016,66
Total,28002 Ajalvir,2025,4.868
Total,28002 Ajalvir,2024,4.863
Total,28002 Ajalvir,2023,4.779
Total,28002 Ajalvir,2022,4.751
Total,28002 Ajalvir,2021,4.676
Total,28002 Ajalvir,2020,4.721
Total,28002 Ajalvir,2019,4.712
Total,28002 Ajalvir,2018,4.559
Total,28002 Ajalvir,2017,4.455
Total,28002 Ajalvir,2016,4.440
Total,28003 Alameda del Valle,2025,267
Total,28003 Alameda del Valle,2024,255
Total,28003 Alameda del Valle,2023,274
Total,28003 Alameda del Valle,2022,241
Total,28003 Alameda del Valle,2021,246
Total,28003 Alameda del Valle,2020,204
Total,28003 Alameda del Valle,2019,200
Total,28003 Alameda del Valle,2018,195
Total,28003 Alameda del Valle,2017,199
Total,28003 Alameda del Valle,2016,208
Total,"28004 Álamo, El",2025,10.594
Total,"28004 Álamo, El",2024,10.430
Total,"28004 Álamo, El",2023,10.322
Total,"28004 Álamo, El",2022,10.123
Total,"28004 Álamo, El",2021,9.908
Total,"28004 Álamo, El",2020,9.862
Total,"28004 Álamo, El",2019,9.470
Total,"28004 Álamo, El",2018,9.353
Total,"28004 Álamo, El",2017,9.149
Total,"28004 Álamo, El",2016,9.017
Total,28005 Alcalá de Henares,2025,203.208
Total,28005 Alcalá de Henares,2024,200.702
Total,28005 Alcalá de Henares,2023,199.184
Total,28005 Alcalá de Henares,2022,196.888
Total,28005 Alcalá de Henares,2021,195.982
Total,28005 Alcalá de Henares,2020,197.562
Total,28005 Alcalá de Henares,2019,195.649
Total,28005 Alcalá de Henares,2018,193.751
Total,28005 Alcalá de Henares,2017,194.310
Total,28005 Alcalá de Henares,2016,195.907
Total,28006 Alcobendas,2025,123.342
Total,28006 Alcobendas,2024,121.373
Total,28006 Alcobendas,2023,119.416
Total,28006 Alcobendas,2022,117.041
Total,28006 Alcobendas,2021,116.589
Total,28006 Alcobendas,2020,118.417
Total,28006 Alcobendas,2019,117.040
Total,28006 Alcobendas,2018,116.037
Total,28006 Alcobendas,2017,114.864
Total,28006 Alcobendas,2016,113.340
Total,28007 Alcorcón,2025,175.719
Total,28007 Alcorcón,2024,173.625
Total,28007 Alcorcón,2023,171.772
Total,28007 Alcorcón,2022,170.296
Total,28007 Alcorcón,2021,170.817
Total,28007 Alcorcón,2020,172.384
Total,28007 Alcorcón,2019,170.514
Total,28007 Alcorcón,2018,169.502
Total,28007 Alcorcón,2017,168.141
Total,28007 Alcorcón,2016,167.354
Total,28008 Aldea del Fresno,2025,3.503
Total,28008 Aldea del Fresno,2024,3.422
Total,28008 Aldea del Fresno,2023,3.408
Total,28008 Aldea del Fresno,2022,3.227
Total,28008 Aldea del Fresno,2021,3.085
Total,28008 Aldea del Fresno,2020,2.973
Total,28008 Aldea del Fresno,2019,2.838
Total,28008 Aldea del Fresno,2018,2.698
Total,28008 Aldea del Fresno,2017,2.616
Total,28008 Aldea del Fresno,2016,2.584
Total,28009 Algete,2025,21.144
Total,28009 Algete,2024,21.167
Total,28009 Algete,2023,20.991
Total,28009 Algete,2022,20.767
Total,28009 Algete,2021,20.749
Total,28009 Algete,2020,20.864
Total,28009 Algete,2019,20.611
Total,28009 Algete,2018,20.473
Total,28009 Algete,2017,20.419
Total,28009 Algete,2016,20.311
Total,28010 Alpedrete,2025,15.686
Total,28010 Alpedrete,2024,15.543
Total,28010 Alpedrete,2023,15.312
Total,28010 Alpedrete,2022,15.006
Total,28010 Alpedrete,2021,14.959
Total,28010 Alpedrete,2020,14.839
Total,28010 Alpedrete,2019,14.575
Total,28010 Alpedrete,2018,14.364
Total,28010 Alpedrete,2017,14.240
Total,28010 Alpedrete,2016,14.417
Total,28011 Ambite,2025,732
Total,28011 Ambite,2024,697
Total,28011 Ambite,2023,684
Total,28011 Ambite,2022,648
Total,28011 Ambite,2021,662
Total,28011 Ambite,2020,609
Total,28011 Ambite,2019,592
Total,28011 Ambite,2018,601
Total,28011 Ambite,2017,677
Total,28011 Ambite,2016,595
Total,28012 Anchuelo,2025,1.414
Total,28012 Anchuelo,2024,1.392
Total,28012 Anchuelo,2023,1.379
Total,28012 Anchuelo,2022,1.354
Total,28012 Anchuelo,2021,1.359
Total,28012 Anchuelo,2020,1.286
Total,28012 Anchuelo,2019,1.271
Total,28012 Anchuelo,2018,1.272
Total,28012 Anchuelo,2017,1.238
Total,28012 Anchuelo,2016,1.215
Total,28013 Aranjuez,2025,63.040
Total,28013 Aranjuez,2024,62.292
Total,28013 Aranjuez,2023,60.668
Total,28013 Aranjuez,2022,59.762
Total,28013 Aranjuez,2021,59.833
Total,28013 Aranjuez,2020,60.332
Total,28013 Aranjuez,2019,59.607
Total,28013 Aranjuez,2018,59.037
Total,28013 Aranjuez,2017,58.213
Total,28013 Aranjuez,2016,57.932
Total,28014 Arganda del Rey,2025,60.419
Total,28014 Arganda del Rey,2024,59.513
Total,28014 Arganda del Rey,2023,58.990
Total,28014 Arganda del Rey,2022,57.553
Total,28014 Arganda del Rey,2021,56.386
Total,28014 Arganda del Rey,2020,56.678
Total,28014 Arganda del Rey,2019,55.389
Total,28014 Arganda del Rey,2018,54.554
Total,28014 Arganda del Rey,2017,53.821
Total,28014 Arganda del Rey,2016,54.256
Total,28015 Arroyomolinos,2025,38.075
Total,28015 Arroyomolinos,2024,37.208
Total,28015 Arroyomolinos,2023,35.972
Total,28015 Arroyomolinos,2022,34.833
Total,28015 Arroyomolinos,2021,33.687
Total,28015 Arroyomolinos,2020,32.935
Total,28015 Arroyomolinos,2019,31.396
Total,28015 Arroyomolinos,2018,30.052
Total,28015 Arroyomolinos,2017,29.128
Total,28015 Arroyomolinos,2016,28.177
Total,"28016 Atazar, El",2025,110
Total,"28016 Atazar, El",2024,107
Total,"28016 Atazar, El",2023,104
Total,"28016 Atazar, El",2022,107
Total,"28016 Atazar, El",2021,109
Total,"28016 Atazar, El",2020,90
Total,"28016 Atazar, El",2019,89
Total,"28016 Atazar, El",2018,93
Total,"28016 Atazar, El",2017,97
Total,"28016 Atazar, El",2016,95
Total,28017 Batres,2025,1.976
Total,28017 Batres,2024,1.943
Total,28017 Batres,2023,1.872
Total,28017 Batres,2022,1.823
Total,28017 Batres,2021,1.820
Total,28017 Batres,2020,1.750
Total,28017 Batres,2019,1.684
Total,28017 Batres,2018,1.638
Total,28017 Batres,2017,1.610
Total,28017 Batres,2016,1.582
Total,28018 Becerril de la Sierra,2025,6.737
Total,28018 Becerril de la Sierra,2024,6.573
Total,28018 Becerril de la Sierra,2023,6.277
Total,28018 Becerril de la Sierra,2022,6.197
Total,28018 Becerril de la Sierra,2021,6.108
Total,28018 Becerril de la Sierra,2020,5.875
Total,28018 Becerril de la Sierra,2019,5.714
Total,28018 Becerril de la Sierra,2018,5.564
Total,28018 Becerril de la Sierra,2017,5.457
Total,28018 Becerril de la Sierra,2016,5.439
Total,28019 Belmonte de Tajo,2025,1.955
Total,28019 Belmonte de Tajo,2024,1.917
Total,28019 Belmonte de Tajo,2023,1.840
Total,28019 Belmonte de Tajo,2022,1.769
Total,28019 Belmonte de Tajo,2021,1.751
Total,28019 Belmonte de Tajo,2020,1.683
Total,28019 Belmonte de Tajo,2019,1.664
Total,28019 Belmonte de Tajo,2018,1.627
Total,28019 Belmonte de Tajo,2017,1.628
Total,28019 Belmonte de Tajo,2016,1.605
Total,"28021 Berrueco, El",2025,795
Total,"28021 Berrueco, El",2024,816
Total,"28021 Berrueco, El",2023,802
Total,"28021 Berrueco, El",2022,801
Total,"28021 Berrueco, El",2021,796
Total,"28021 Berrueco, El",2020,777
Total,"28021 Berrueco, El",2019,760
Total,"28021 Berrueco, El",2018,741
Total,"28021 Berrueco, El",2017,743
Total,"28021 Berrueco, El",2016,752
Total,28020 Berzosa del Lozoya,2025,242
Total,28020 Berzosa del Lozoya,2024,231
Total,28020 Berzosa del Lozoya,2023,217
Total,28020 Berzosa del Lozoya,2022,227
Total,28020 Berzosa del Lozoya,2021,216
Total,28020 Berzosa del Lozoya,2020,222
Total,28020 Berzosa del Lozoya,2019,205
Total,28020 Berzosa del Lozoya,2018,198
Total,28020 Berzosa del Lozoya,2017,203
Total,28020 Berzosa del Lozoya,2016,198
Total,28022 Boadilla del Monte,2025,66.349
Total,28022 Boadilla del Monte,2024,65.839
Total,28022 Boadilla del Monte,2023,64.742
Total,28022 Boadilla del Monte,2022,62.627
Total,28022 Boadilla del Monte,2021,59.052
Total,28022 Boadilla del Monte,2020,56.734
Total,28022 Boadilla del Monte,2019,54.570
Total,28022 Boadilla del Monte,2018,52.626
Total,28022 Boadilla del Monte,2017,51.463
Total,28022 Boadilla del Monte,2016,49.762
Total,"28023 Boalo, El",2025,8.770
Total,"28023 Boalo, El",2024,8.547
Total,"28023 Boalo, El",2023,8.424
Total,"28023 Boalo, El",2022,8.216
Total,"28023 Boalo, El",2021,8.009
Total,"28023 Boalo, El",2020,7.663
Total,"28023 Boalo, El",2019,7.508
Total,"28023 Boalo, El",2018,7.399
Total,"28023 Boalo, El",2017,7.358
Total,"28023 Boalo, El",2016,7.225
Total,28024 Braojos,2025,233
Total,28024 Braojos,2024,219
Total,28024 Braojos,2023,212
Total,28024 Braojos,2022,218
Total,28024 Braojos,2021,218
Total,28024 Braojos,2020,206
Total,28024 Braojos,2019,205
Total,28024 Braojos,2018,205
Total,28024 Braojos,2017,208
Total,28024 Braojos,2016,201
Total,28025 Brea de Tajo,2025,577
Total,28025 Brea de Tajo,2024,579
Total,28025 Brea de Tajo,2023,543
Total,28025 Brea de Tajo,2022,541
Total,28025 Brea de Tajo,2021,523
Total,28025 Brea de Tajo,2020,506
Total,28025 Brea de Tajo,2019,524
Total,28025 Brea de Tajo,2018,525
Total,28025 Brea de Tajo,2017,539
Total,28025 Brea de Tajo,2016,560
Total,28026 Brunete,2025,11.287
Total,28026 Brunete,2024,11.300
Total,28026 Brunete,2023,11.014
Total,28026 Brunete,2022,10.845
Total,28026 Brunete,2021,10.726
Total,28026 Brunete,2020,10.760
Total,28026 Brunete,2019,10.736
Total,28026 Brunete,2018,10.596
Total,28026 Brunete,2017,10.373
Total,28026 Brunete,2016,10.374
Total,28027 Buitrago del Lozoya,2025,2.034
Total,28027 Buitrago del Lozoya,2024,1.973
Total,28027 Buitrago del Lozoya,2023,1.967
Total,28027 Buitrago del Lozoya,2022,1.948
Total,28027 Buitrago del Lozoya,2021,1.940
Total,28027 Buitrago del Lozoya,2020,1.959
Total,28027 Buitrago del Lozoya,2019,1.884
Total,28027 Buitrago del Lozoya,2018,1.875
Total,28027 Buitrago del Lozoya,2017,1.854
Total,28027 Buitrago del Lozoya,2016,1.861
Total,28028 Bustarviejo,2025,2.870
Total,28028 Bustarviejo,2024,2.829
Total,28028 Bustarviejo,2023,2.743
Total,28028 Bustarviejo,2022,2.706
Total,28028 Bustarviejo,2021,2.701
Total,28028 Bustarviejo,2020,2.522
Total,28028 Bustarviejo,2019,2.503
Total,28028 Bustarviejo,2018,2.486
Total,28028 Bustarviejo,2017,2.399
Total,28028 Bustarviejo,2016,2.370
Total,28029 Cabanillas de la Sierra,2025,961
Total,28029 Cabanillas de la Sierra,2024,941
Total,28029 Cabanillas de la Sierra,2023,939
Total,28029 Cabanillas de la Sierra,2022,874
Total,28029 Cabanillas de la Sierra,2021,837
Total,28029 Cabanillas de la Sierra,2020,785
Total,28029 Cabanillas de la Sierra,2019,756
Total,28029 Cabanillas de la Sierra,2018,712
Total,28029 Cabanillas de la Sierra,2017,712
Total,28029 Cabanillas de la Sierra,2016,719
Total,"28030 Cabrera, La",2025,2.889
Total,"28030 Cabrera, La",2024,2.922
Total,"28030 Cabrera, La",2023,2.882
Total,"28030 Cabrera, La",2022,2.805
Total,"28030 Cabrera, La",2021,2.782
Total,"28030 Cabrera, La",2020,2.736
Total,"28030 Cabrera, La",2019,2.667
Total,"28030 Cabrera, La",2018,2.613
Total,"28030 Cabrera, La",2017,2.570
Total,"28030 Cabrera, La",2016,2.560
Total,28031 Cadalso de los Vidrios,2025,3.372
Total,28031 Cadalso de los Vidrios,2024,3.228
Total,28031 Cadalso de los Vidrios,2023,3.173
Total,28031 Cadalso de los Vidrios,2022,3.193
Total,28031 Cadalso de los Vidrios,2021,3.203
Total,28031 Cadalso de los Vidrios,2020,3.047
Total,28031 Cadalso de los Vidrios,2019,3.039
Total,28031 Cadalso de los Vidrios,2018,3.049
Total,28031 Cadalso de los Vidrios,2017,3.053
Total,28031 Cadalso de los Vidrios,2016,2.788
Total,28032 Camarma de Esteruelas,2025,8.331
Total,28032 Camarma de Esteruelas,2024,8.106
Total,28032 Camarma de Esteruelas,2023,7.792
Total,28032 Camarma de Esteruelas,2022,7.595
Total,28032 Camarma de Esteruelas,2021,7.555
Total,28032 Camarma de Esteruelas,2020,7.437
Total,28032 Camarma de Esteruelas,2019,7.336
Total,28032 Camarma de Esteruelas,2018,7.226
Total,28032 Camarma de Esteruelas,2017,7.084
Total,28032 Camarma de Esteruelas,2016,7.050
Total,28033 Campo Real,2025,6.974
Total,28033 Campo Real,2024,6.802
Total,28033 Campo Real,2023,6.781
Total,28033 Campo Real,2022,6.651
Total,28033 Campo Real,2021,6.416
Total,28033 Campo Real,2020,6.420
Total,28033 Campo Real,2019,6.210
Total,28033 Campo Real,2018,6.075
Total,28033 Campo Real,2017,5.995
Total,28033 Campo Real,2016,5.888
Total,28034 Canencia,2025,475
Total,28034 Canencia,2024,469
Total,28034 Canencia,2023,460
Total,28034 Canencia,2022,455
Total,28034 Canencia,2021,461
Total,28034 Canencia,2020,447
Total,28034 Canencia,2019,447
Total,28034 Canencia,2018,423
Total,28034 Canencia,2017,448
Total,28034 Canencia,2016,451
Total,28035 Carabaña,2025,2.451
Total,28035 Carabaña,2024,2.352
Total,28035 Carabaña,2023,2.273
Total,28035 Carabaña,2022,2.210
Total,28035 Carabaña,2021,2.142
Total,28035 Carabaña,2020,2.081
Total,28035 Carabaña,2019,2.010
Total,28035 Carabaña,2018,1.905
Total,28035 Carabaña,2017,1.940
Total,28035 Carabaña,2016,1.948
Total,28036 Casarrubuelos,2025,4.323
Total,28036 Casarrubuelos,2024,4.211
Total,28036 Casarrubuelos,2023,4.062
Total,28036 Casarrubuelos,2022,3.961
Total,28036 Casarrubuelos,2021,3.939
Total,28036 Casarrubuelos,2020,3.845
Total,28036 Casarrubuelos,2019,3.778
Total,28036 Casarrubuelos,2018,3.707
Total,28036 Casarrubuelos,2017,3.650
Total,28036 Casarrubuelos,2016,3.589
Total,28037 Cenicientos,2025,2.152
Total,28037 Cenicientos,2024,2.148
Total,28037 Cenicientos,2023,2.097
Total,28037 Cenicientos,2022,2.089
Total,28037 Cenicientos,2021,2.083
Total,28037 Cenicientos,2020,2.038
Total,28037 Cenicientos,2019,2.033
Total,28037 Cenicientos,2018,1.980
Total,28037 Cenicientos,2017,1.984
Total,28037 Cenicientos,2016,1.986
Total,28038 Cercedilla,2025,7.772
Total,28038 Cercedilla,2024,7.647
Total,28038 Cercedilla,2023,7.648
Total,28038 Cercedilla,2022,7.533
Total,28038 Cercedilla,2021,7.359
Total,28038 Cercedilla,2020,7.205
Total,28038 Cercedilla,2019,7.026
Total,28038 Cercedilla,2018,6.948
Total,28038 Cercedilla,2017,6.853
Total,28038 Cercedilla,2016,6.751
Total,28039 Cervera de Buitrago,2025,165
Total,28039 Cervera de Buitrago,2024,161
Total,28039 Cervera de Buitrago,2023,164
Total,28039 Cervera de Buitrago,2022,169
Total,28039 Cervera de Buitrago,2021,158
Total,28039 Cervera de Buitrago,2020,162
Total,28039 Cervera de Buitrago,2019,150
Total,28039 Cervera de Buitrago,2018,149
Total,28039 Cervera de Buitrago,2017,156
Total,28039 Cervera de Buitrago,2016,157
Total,28051 Chapinería,2025,2.705
Total,28051 Chapinería,2024,2.642
Total,28051 Chapinería,2023,2.604
Total,28051 Chapinería,2022,2.512
Total,28051 Chapinería,2021,2.494
Total,28051 Chapinería,2020,2.414
Total,28051 Chapinería,2019,2.328
Total,28051 Chapinería,2018,2.240
Total,28051 Chapinería,2017,2.225
Total,28051 Chapinería,2016,2.214
Total,28052 Chinchón,2025,5.800
Total,28052 Chinchón,2024,5.818
Total,28052 Chinchón,2023,5.664
Total,28052 Chinchón,2022,5.658
Total,28052 Chinchón,2021,5.506
Total,28052 Chinchón,2020,5.413
Total,28052 Chinchón,2019,5.331
Total,28052 Chinchón,2018,5.239
Total,28052 Chinchón,2017,5.240
Total,28052 Chinchón,2016,5.294
Total,28040 Ciempozuelos,2025,26.350
Total,28040 Ciempozuelos,2024,26.140
Total,28040 Ciempozuelos,2023,25.866
Total,28040 Ciempozuelos,2022,25.383
Total,28040 Ciempozuelos,2021,25.083
Total,28040 Ciempozuelos,2020,25.104
Total,28040 Ciempozuelos,2019,24.592
Total,28040 Ciempozuelos,2018,24.087
Total,28040 Ciempozuelos,2017,23.737
Total,28040 Ciempozuelos,2016,23.773
Total,28041 Cobeña,2025,7.670
Total,28041 Cobeña,2024,7.759
Total,28041 Cobeña,2023,7.698
Total,28041 Cobeña,2022,7.551
Total,28041 Cobeña,2021,7.444
Total,28041 Cobeña,2020,7.486
Total,28041 Cobeña,2019,7.428
Total,28041 Cobeña,2018,7.280
Total,28041 Cobeña,2017,7.163
Total,28041 Cobeña,2016,7.009
Total,28046 Collado Mediano,2025,7.722
Total,28046 Collado Mediano,2024,7.547
Total,28046 Collado Mediano,2023,7.490
Total,28046 Collado Mediano,2022,7.456
Total,28046 Collado Mediano,2021,7.348
Total,28046 Collado Mediano,2020,7.105
Total,28046 Collado Mediano,2019,6.958
Total,28046 Collado Mediano,2018,6.781
Total,28046 Collado Mediano,2017,6.666
Total,28046 Collado Mediano,2016,6.583
Total,28047 Collado Villalba,2025,67.274
Total,28047 Collado Villalba,2024,66.698
Total,28047 Collado Villalba,2023,65.657
Total,28047 Collado Villalba,2022,64.263
Total,28047 Collado Villalba,2021,63.825
Total,28047 Collado Villalba,2020,64.378
Total,28047 Collado Villalba,2019,63.679
Total,28047 Collado Villalba,2018,63.074
Total,28047 Collado Villalba,2017,62.152
Total,28047 Collado Villalba,2016,61.597
Total,28043 Colmenar de Oreja,2025,9.127
Total,28043 Colmenar de Oreja,2024,8.888
Total,28043 Colmenar de Oreja,2023,8.649
Total,28043 Colmenar de Oreja,2022,8.462
Total,28043 Colmenar de Oreja,2021,8.303
Total,28043 Colmenar de Oreja,2020,8.154
Total,28043 Colmenar de Oreja,2019,8.032
Total,28043 Colmenar de Oreja,2018,7.902
Total,28043 Colmenar de Oreja,2017,7.810
Total,28043 Colmenar de Oreja,2016,7.946
Total,28042 Colmenar del Arroyo,2025,2.044
Total,28042 Colmenar del Arroyo,2024,2.015
Total,28042 Colmenar del Arroyo,2023,1.947
Total,28042 Colmenar del Arroyo,2022,1.936
Total,28042 Colmenar del Arroyo,2021,1.875
Total,28042 Colmenar del Arroyo,2020,1.785
Total,28042 Colmenar del Arroyo,2019,1.725
Total,28042 Colmenar del Arroyo,2018,1.685
Total,28042 Colmenar del Arroyo,2017,1.632
Total,28042 Colmenar del Arroyo,2016,1.632
Total,28045 Colmenar Viejo,2025,58.730
Total,28045 Colmenar Viejo,2024,57.029
Total,28045 Colmenar Viejo,2023,55.198
Total,28045 Colmenar Viejo,2022,53.389
Total,28045 Colmenar Viejo,2021,52.480
Total,28045 Colmenar Viejo,2020,51.938
Total,28045 Colmenar Viejo,2019,50.752
Total,28045 Colmenar Viejo,2018,49.498
Total,28045 Colmenar Viejo,2017,48.614
Total,28045 Colmenar Viejo,2016,48.020
Total,28044 Colmenarejo,2025,9.640
Total,28044 Colmenarejo,2024,9.623
Total,28044 Colmenarejo,2023,9.534
Total,28044 Colmenarejo,2022,9.473
Total,28044 Colmenarejo,2021,9.376
Total,28044 Colmenarejo,2020,9.230
Total,28044 Colmenarejo,2019,9.130
Total,28044 Colmenarejo,2018,9.124
Total,28044 Colmenarejo,2017,9.015
Total,28044 Colmenarejo,2016,8.945
Total,28048 Corpa,2025,832
Total,28048 Corpa,2024,792
Total,28048 Corpa,2023,798
Total,28048 Corpa,2022,764
Total,28048 Corpa,2021,742
Total,28048 Corpa,2020,723
Total,28048 Corpa,2019,713
Total,28048 Corpa,2018,697
Total,28048 Corpa,2017,684
